Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,ECO,Moves
World Championship 18th,NLD/URS,1948.??.??,16.0,"Reshevsky, Samuel Herman","Smyslov, Vassily",1/2-1/2,,,D19,d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 e2e3 e7e6 f1c4 f8b4 e1g1 e8g8 d1e2 f5g4 h2h3 g4f3 e2f3 b8d7 f1d1 e6e5 d4d5 b4c3 d5c6 e5e4 f3f5 c3e5 c6d7 d8c7 c4b3 g7g6 f5g5 g8g7 f2f4 e4f3 g2f3 h7h6 g5g2 c7b6 b3c2 f8d8 a1a3 d8d7 d1d7 f6d7 f3f4 e5f6 a3b3 b6c5 b3b5 c5c4 b5b7 a8c8 b7d7 c4c2 g2c2 c8c2 c1d2 f6b2 g1f1 a7a6 f1e2 b2c1 e2d1 c2d2 d7d2 c1d2 d1d2 g6g5 d2e2 f7f5 e2f3 g7f6 e3e4 f5e4 f3e4 g5f4 e4f4 a6a5
World Championship 18th,NLD/URS,1948.??.??,16.0,"Keres, Paul","Euwe, Max",1-0,,,C81,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 d1e2 f8e7 f1d1 e8g8 c2c4 b5c4 b3c4 e7c5 c1e3 c5e3 e2e3 d8b8 c4b3 c6a5 b1d2 e4d2 d1d2 a5b3 a2b3 f8c8 a1c1 c7c5 c1c5 c8c5 e3c5 b8b3 f3d4 b3b7 h2h3 a8d8 g1h2 g7g6 f2f4 h7h5 d2d3 b7d7 c5b6 d8a8 d3a3 d7a7 b6b4 a7d7 b4a5 e6f5 a3c3 a8a7 c3c5 f5e4 a5c3 d7e7 d4c6
World Championship 18th,NLD/URS,1948.??.??,17.0,"Euwe, Max","Botvinnik, Mikhail",1/2-1/2,,,C08,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 f1b5 c8d7 d1e2 d8e7 b5d7 b8d7 d4c5 d7c5 d2b3 e7e2 g1e2 c5b3 a2b3 f8c5 c1d2 g8e7 d2c3 e7c6 e1c1 c5f2 c3g7 h8g8 g7h6 g8g2 d1d5 a8d8 d5d8 c6d8 c1d2 d8e6 h6e3 e8e7 e3f2 g2f2 d2e3 f2f5 h1a1 a7a6 a1a4 f5h5 h2h4 h5e5 e3f3 e5f5 f3e3 f5e5 e3f3 e5f5 f3e3
World Championship 18th,NLD/URS,1948.??.??,17.0,"Smyslov, Vassily","Keres, Paul",1-0,,,D36,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 c7c6 e2e3 b8d7 c4d5 e6d5 f1d3 f8e7 g1f3 e8g8 d1c2 f8e8 e1g1 d7f8 a1b1 f8g6 b2b4 e7d6 b4b5 c8d7 b5c6 d7c6 c2b3 d6e7 g5f6 e7f6 d3b5 d8d6 f1c1 h7h5 c3e2 h5h4 b5c6 b7c6 b3a4 g6e7 b1b7 a7a5 h2h3 e8b8 c1b1 b8b7 b1b7 c6c5 b7b5 c5d4 e2d4 a8c8 d4b3 f6c3 a4h4 c8c4 g2g4 a5a4 b3d4 c3d4 f3d4 d6e5 d4f3 e5d6 b5a5 c4c8 a5a4 e7g6 h4h5 d6f6 h5f5 f6c6 a4a7 c8f8 a7d7 d5d4 d7d4 f8a8 a2a4
World Championship 18th,NLD/URS,1948.??.??,18.0,"Keres, Paul","Reshevsky, Samuel Herman",0-1,,,C81,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 d1e2 e4c5 f1d1 c5b3 a2b3 d8c8 c1g5 h7h6 g5h4 f8c5 b1c3 g7g5 h4g3 c8b7 c3d5 e8c8 d5f6 g5g4 f3e1 c6d4 e2f1 h6h5 g3f4 h5h4 f4e3 h4h3 d1d2 h3g2 f1g2 d4f3 e1f3 c5e3 d2d8 h8d8 f3e1 e3d4 e1d3 e6f5 a1e1 a6a5 f6e4 c8b8 b3b4 a5a4 c2c3 f5e4 e1e4 d4c3 e4e3 b7g2 g1g2 d8d3 e3d3 c3b2 d3d5 c7c6 d5d8 b8c7 d8a8 c7b7 a8f8 b2e5 f8f7 b7b6 f2f4
World Championship 18th,NLD/URS,1948.??.??,18.0,"Botvinnik, Mikhail","Smyslov, Vassily",1/2-1/2,,,D76,d2d4 g8f6 c2c4 g7g6 g2g3 d7d5 c4d5 f6d5 f1g2 f8g7 g1f3 e8g8 e1g1 d5b6 b1c3 a7a5 c1f4 c7c6 d1c1 f8e8 f1d1 b8a6 h2h3 a5a4 e2e4 c8d7 f3e5 d8c8 g1h2 e8d8 f4g5 f7f6 e5d7 c8d7 g5e3 g8h8 g2f1 f6f5 d4d5 c6c5 f1b5 d7c7 e3f4 g7e5 f4e5 c7e5 f2f4 e5g7 c1e3 f5e4 a1c1 a4a3 b2a3 b6c8 c3e4 c8d6 b5a6 d6e4 e3e4 a8a6 c1c5 a6a3 d1d2 d8a8 e4e6 a3c3 c5c3 g7c3 e6e5 c3e5 f4e5 h8g7 h2g2 g7f7 d2f2 f7e8 f2d2 a8a3 d2b2 a3d3 b2b5 e8d8 a2a4 b7b6 b5b6 d3d5 b6b8 d8d7 b8h8 d5e5 h8h7 d7e6 h7h4 e5e2 g2f3 e2a2 h4e4 e6f6 e4f4 f6g7 f4c4 a2a3 f3g4 e7e5 g4h4 g7h6 c4b4 a3a1 h4g4 a1a3 h3h4 h6g7 h4h5 g6h5 g4h5 g7f6 h5h4 f6f5 g3g4 f5f6 b4b6 f6f7 b6b7 f7g6 b7b4 g6f6 b4b6 f6f7 b6b7 f7g6 b7a7 e5e4 a7a6 g6f7 g4g5 e4e3 h4g3 e3e2 g3f2 a3e3 f2e1 f7g7 a6a7 g7g6 a7a8 g6g7 a4a5 e3e5 g5g6 g7g6 a5a6 g6g7 a8a7 g7g6 a7b7 e5a5 b7b6 g6f7 e1e2 f7e7
World Championship 18th,NLD/URS,1948.??.??,19.0,"Smyslov, Vassily","Euwe, Max",1-0,,,C81,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 d1e2 e4c5 f1d1 c5b3 a2b3 d8c8 c2c4 d5c4 b3c4 e6c4 e2e4 c6e7 b1a3 c7c6 a3c4 b5c4 e4c4 c8b7 e5e6 f7f6 d1d7 b7b5 c4b5 c6b5 f3d4 a8c8 c1e3 e7g6 a1a6 g6e5 d7b7 f8c5 d4f5 e8g8 h2h3
World Championship 18th,NLD/URS,1948.??.??,19.0,"Reshevsky, Samuel Herman","Botvinnik, Mikhail",0-1,,,C18,d2d4 e7e6 e2e4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 d8c7 d1g4 f7f5 g4g3 c5d4 c3d4 g8e7 e1d2 e8g8 f1d3 b7b6 g1e2 c8a6 e2f4 c7d7 d3a6 b8a6 g3d3 a6b8 h2h4 b8c6 h1h3 a8c8 h3g3 g8h8 h4h5 f8f7 h5h6 g7g6 d2e1 f7f8 f4e2 c6b8 e1f1 c8c4 f1g1 b8c6 c1g5 e7g8 a1e1 d7f7 c2c3 c6a5 e2f4 c4c6 g5f6 g8f6 e5f6 a5c4 d3b1 f7f6 a3a4 g6g5 f4d3 f5f4 g3h3 g5g4 h3h1 c6c7 b1d1 f6g6 h1h4 f4f3 g2g3 c7f7 d3f4 f7f4 g3f4 f8f4 d1b1 f4f5 b1d3 g4g3 d3f1 g3f2 g1f2 f5g5 f1h3 g5g2 f2f3 c4d2 f3e3 g2g3
World Championship 18th,NLD/URS,1948.??.??,20.0,"Euwe, Max","Reshevsky, Samuel Herman",0-1,,,E33,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 b8c6 g1f3 d7d6 c1d2 e8g8 a2a3 b4c3 d2c3 a7a5 e2e3 d8e7 f1d3 e6e5 d4e5 d6e5 e1g1 f8e8 d3f5 c8f5 c2f5 e7e6 f5e6 e8e6 b2b4 f6e4 c3b2 f7f6 b4b5 c6e7 f1d1 e6d6 g1f1 e7c8 d1c1 c7c5 b2c3 e4c3 c1c3 e5e4 f3g1 c8b6 g1e2 f6f5 f1e1 a8d8 c3c2 g8f7 e2g3 f7e6 g3f1 d6d3 f1g3 g7g5 g3e2 b6a4 e2g3 e6e5 g3f1 h7h5 f2f3 d3b3 f3e4 f5e4 c2f2 a4b2 f2c2 b2d3 e1e2 d8f8 f1d2 f8f2 e2d1 b3b2 c2b2 d3b2 d1c1 f2g2
World Championship 18th,NLD/URS,1948.??.??,20.0,"Botvinnik, Mikhail","Keres, Paul",1-0,,,D06,d2d4 d7d5 g1f3 c8f5 c2c4 e7e6 c4d5 e6d5 d1b3 b8c6 c1g5 f8e7 g5e7 g8e7 e2e3 d8d6 b1d2 e8g8 a1c1 a7a5 a2a3 f8c8 f1d3 a5a4 b3c2 f5d3 c2d3 c6d8 e1g1 d8e6 c1c3 b7b5 d3c2 c8b8 f3e1 e7c8 c3c6 d6e7 e1d3 c8b6 d3b4 b8d8 c2f5 d8d6 f1c1 d6c6 c1c6 a8d8 c6b6 c7b6 b4c6 e7c7 c6d8 c7d8 f5c2 d8c7 c2c7 e6c7 d2b1 g8f8 g1f1 f8e7 f1e2 e7d6 e2d3 d6c6 b1c3 c7e8 c3a2 f7f6 f2f3 e8c7 a2b4 c6d6 e3e4 d5e4 f3e4 c7e6 d3e3 e6c7 e3d3 c7e6 b4d5 d6c6 h2h4 e6d8 d5f4 c6d6 f4h5 d8e6 d3e3 d6e7 d4d5 e6c5 h5g7 e7d6 g7e6 c5d7 e3d4 d7e5 e6g7 e5c4 g7f5 d6c7 d4c3 c7d7 g2g4 c4e5 g4g5 f6g5 h4g5 e5f3 c3b4 f3g5 e4e5 h7h5 e5e6 d7d8 b4b5
World Championship 18th,NLD/URS,1948.??.??,21.0,"Smyslov, Vassily","Reshevsky, Samuel Herman",1/2-1/2,,,C81,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f6e4 d2d4 b7b5 a4b3 d7d5 d4e5 c8e6 d1e2 e4c5 f1d1 b5b4 c1e3 c5b3 a2b3 d8c8 c2c4 d5c4 b3c4 h7h6 b1d2 f8e7 d2b3 e8g8 e3c5 e6g4 e2e4 g4f3 g2f3 c8e6 c5e7 c6e7 b3c5 e6g6 e4g6 e7g6 c5a6 g6e5 b2b3 a8a7 a6b4 a7a1 d1a1 f8b8 b4d5 b8b3 f3f4 e5c4 a1c1 c4d2 c1c7 d2f3 g1g2 f3h4 g2f1 b3b2 d5e3 b2b4 f4f5 f7f6 c7c5 g8h7 e3d5 b4d4 d5e7 d4e4 e7g6 h4g6 f5g6 h7g6 f1g2 h6h5 h2h3 f6f5 c5c6 g6g5 c6c7 g7g6 c7c6 e4d4 c6a6 h5h4 a6b6 d4d3 b6a6 g5h5 a6a8 d3d6 a8h8 h5g5 g2f3 d6d3 f3g2 d3d4 g2f3 g5f6 h8f8 f6g7 f8a8 d4d3 f3g2 g6g5 a8a6 d3d7 a6b6 d7e7 b6a6 g7f7 a6h6 e7e6 h6h8 f7g7 h8h5 g7g6 h5h8 e6c6 h8g8 g6f6 g8f8 f6e5 f8g8 e5f4 g8h8 c6c5 h8h5 c5c6 h5h8 c6g6 h8h7 f4e5 h7h8 e5f6 h8f8 f6e6 f8h8 e6f7 f2f4
World Championship 18th,NLD/URS,1948.??.??,21.0,"Euwe, Max","Keres, Paul",0-1,,,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 c1g5 h7h6 g5h4 c7c5 d4c5 b8a6 e2e3 a6c5 g1e2 d7d5 e1c1 c8d7 c4d5 a8c8 c1b1 c5a4 d5e6 f7e6 c2b3 b4c3 e2c3 a4c3 b2c3 d8e8 d1d4 f6d5 c3c4 d5b6 f1d3 b6a4 d3c2 a4c5 b3c3 b7b5 b1a1 a7a5 c4b5 d7b5 c3b2 e8c6 d4g4 f8f7 h4f6 c8c7 h1d1 b5d3 c2d3 c5d3 d1d3 f7f6 f2f3 f6f5 g4d4 f5c5 d4d8 g8h7 d3d1 c5c2 b2d4 c2c1 a1b2 c6c2
World Championship 18th,NLD/URS,1948.??.??,22.0,"Keres, Paul","Smyslov, Vassily",1/2-1/2,,,A16,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 g7g6 c1a3 b8d7 g1f3 f8g7 f1e2 c7c5 e1g1 e8g8 d2d4 c5d4 c3d4 d7b6 d1b3 c8g4 a1d1 g4d7 d1c1 d7a4 b3b4 e7e6 e2b5 a4b5 b4b5 f8e8 f1d1 a8c8 a3c5 d8c7 c1b1 c7c6 c5b6 a7b6 e4e5 c6b5 b1b5 c8c6 g2g3 e8a8 d1d2 g7h6 d2b2 h6c1 b2b1 a8a2 b5b6 c6b6 b1b6 a2b2 b6b2 c1b2 g1f1 g8f8 f1e2 f8e8 e2d3 b7b5 f3g5 h7h5 h2h3 b2a3 f2f3 a3e7 g5e4 e8d7 g3g4 d7c6 e4g3 h5g4 f3g4 b5b4 d3c4 g6g5 g3e4 b4b3 e4c3 b3b2 c4b3 f7f6 b3b2 f6e5 d4e5 c6c5 b2c2 c5d4 c3b5 d4e5 c2d3
World Championship 18th,NLD/URS,1948.??.??,22.0,"Botvinnik, Mikhail","Euwe, Max",1/2-1/2,,,D35,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 c4d5 e6d5 b1c3 c7c6 d1c2 g7g6 c1g5 f8g7 e2e3 c8f5 f1d3 f5d3 c2d3 e8g8 e1g1 b8d7 f3e5 d8e8 e5d7 e8d7 b2b4 f8e8
World Championship 18th,NLD/URS,1948.??.??,23.0,"Smyslov, Vassily","Botvinnik, Mikhail",1/2-1/2,,,D22,d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 c8g4 f1c4 e7e6 b1d2 b8d7 e1g1 g8f6 h2h3 g4h5 b2b3 c7c5 c4e2 c5d4 f3d4 h5e2 d1e2 f8c5 c1b2 e8g8 a1c1 a8c8 f1d1 d8e7 d4f3 c5b4 c1c8 f8c8
World Championship 18th,NLD/URS,1948.??.??,23.0,"Reshevsky, Samuel Herman","Keres, Paul",1/2-1/2,,,E32,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6 c1g5 c8b7 g1f3 d7d6 e2e3 b8d7 c3c2 d8e8 f3d2 c7c5 d4c5 b6c5 b2b4 e6e5 b4c5 d6c5 f1e2 h7h6 g5f6 d7f6 e1g1 e8c6 f2f3 f8e8 e2d3 a8d8 f1d1 c6c7 d2e4 e8e6 e4f6 e6f6 d3h7 g8h8 d1d8 c7d8 a1d1 f6d6 d1d6 d8d6
World Championship 18th,NLD/URS,1948.??.??,24.0,"Euwe, Max","Smyslov, Vassily",0-1,,,D99,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 c8g4 c1e3 f6d7 c4b3 d7b6 a2a4 a7a5 d4d5 g4f3 g2f3 d8d6 c3b5 d6b4 b3b4 a5b4 b5c7 a8a4 a1b1 b6d7 c7b5 f8c8 f1e2 b4b3 b5a3 g7b2 b1b2 a4a3 e1d2 b8a6 h1b1 a6c5 e3d4 e7e5 d5e6 c5e6 d4e3 d7c5 e3c5 e6c5 d2c3 a3a4 c3d2 g8g7 d2e3 c8d8 b1c1 b7b6 e2c4 d8a8 c4d5 a4a2 c1b1 a8a4 e3d2 a4d4 d2e2 c5a4 b2a2 b3a2 b1a1 a4c3 e2e3 d4d1
World Championship 18th,NLD/URS,1948.??.??,24.0,"Botvinnik, Mikhail","Reshevsky, Samuel Herman",1-0,,,C49,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 b4c3 b2c3 d7d6 c1g5 d8e7 f1e1 c6d8 d3d4 d8e6 g5c1 f8d8 b5f1 e6f8 f3h4 f6g4 g2g3 e7f6 f2f3 g4h6 c1e3 d8e8 d1d2 f8g6 h4g2 c8h3 f1e2 h3g2 g1g2 d6d5 e4d5 e5d4 c3d4 h6f5 e3f2 e8d8 c2c4 h7h5 h2h4 b7b5 d2g5 f6g5 h4g5 h5h4 e2d3 h4g3 f2g3 f5d4 a1d1 c7c5 d5c6 d4c6 d3e4 a8c8 d1d8 c6d8 e4f5 c8a8 e1e8 g8h7 c4b5 f7f6 g3c7 d8e6 e8a8 e6c7 a8a7 c7b5 a7d7 f6g5 a2a4
World Championship 18th,NLD/URS,1948.??.??,25.0,"Reshevsky, Samuel Herman","Euwe, Max",1-0,,,D40,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 e2e3 c7c5 g1f3 b8c6 d4c5 f8c5 a2a3 a7a5 f1e2 e8g8 e1g1 d5c4 d1c2 e6e5 e2c4 c8g4 f3g5 g4h5 c4d3 h7h6 g5e4 f6e4 d3e4 c5a7 c1d2 h5g4 h2h3 g4e6 c3b5 a7b6 f1d1 d8g5 b5d6 e6h3 c2b3 b6a7 b3b7 c6e7 e4f3 f7f5 g1f1 e5e4 g2h3 a8b8 d6e4 f5e4 b7e4 f8f7 f3g4 g5h4 f2f4 g8h8 d2e1 h4f6 e1c3 f6a6 g4e2 a6c8 e2g4 c8a6 f1g2 e7f5 g4f5 f7f5 d1d7
World Championship 18th,NLD/URS,1948.??.??,25.0,"Keres, Paul","Botvinnik, Mikhail",1-0,,,C15,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2 d5e4 d1g4 g8f6 g4g7 h8g8 g7h6 b8c6 e1c1 g8g6 h6h4 b4c3 d2c3 d8d5 b2b3 c6e7 f2f3 c8d7 c3b2 d7c6 c2c4 d5f5 d4d5 e6d5 f3e4 d5e4 g1h3 f6g4 h4g3 f5c5 g3c7 a8c8 c7f4 c5e3 d1d2 e3f4 h3f4 e4e3 d2c2 g6g5 f1e2 g4f2 h1e1 c8d8 g2g3 g5f5 e2f1 f5f4 g3f4 f2d3 f1d3 d8d3 c2c3 d3c3 b2c3 e7f5 c3d2 e8d7 d2e3 b7b6 e3f2 f7f6 c1d2 h7h5 d2d3 f5h6 f2h4 f6f5 e1e7 d7d6 h2h3
World Championship 19th,Moscow,1951.??.??,1.0,"Botvinnik, Mikhail","Bronstein, David I",1/2-1/2,,,A91,d2d4 e7e6 c2c4 f7f5 g2g3 g8f6 f1g2 f8e7 b1c3 e8g8 e2e3 d7d6 g1e2 c7c6 e1g1 e6e5 d4d5 d8e8 e3e4 e8h5 e4f5 c8f5 f2f3 h5g6 c1e3 b8d7 d1d2 c6d5 c4d5 e7d8 a1c1 d8a5 g3g4 f5d3 f1d1 d3c4 d2c2 g6c2 c1c2 d7b6 c2d2 c4a6 e3f2 b6c4 d2c2 a5b6 f2b6 a7b6 d1e1 c4e3 c2d2 e3c4 d2c2 c4e3 c2d2 e3c4 d2c2
World Championship 19th,Moscow,1951.??.??,2.0,"Bronstein, David I","Botvinnik, Mikhail",1/2-1/2,,,D87,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 c7c5 f1c4 f8g7 g1e2 e8g8 e1g1 b8d7 c1g5 h7h6 g5e3 d8c7 a1c1 a7a6 d1d2 g8h7 c4d3 b7b5 e2f4 e7e5 f4d5 c7d6 d4c5 d7c5 c3c4 c5d3 d2d3 f8d8 c4c5 d6c6 f1d1 c8e6 d1d2 d8d7 c1d1 a6a5 a2a3 a8d8 d3b3 d8b8 f2f3 d7b7 b3b2 b5b4 d5b6 g7f8 a3b4 a5b4 d1c1 b4b3 b6d5 f8g7 d2d3 b7b5 h2h4 b8b7 g1h2 f7f5 c1c3 f5e4 f3e4 b5b4 d5b4 b7b4 d3d6 c6e4 e3f2 e4f4 f2g3 f4f5 c3f3 f5g4 c5c6 g6g5 c6c7 b4c4 f3b3 e5e4 b2f2 g5h4 g3f4 c4c7 d6e6 g4e6 f4c7 e6b3 f2f5
World Championship 19th,Moscow,1951.??.??,3.0,"Botvinnik, Mikhail","Bronstein, David I",1/2-1/2,,,C08,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 f1b5 c8d7 d1e2 f8e7 d4c5 g8f6 g1f3 e8g8 e1g1 f8e8 d2b3 e7c5 e2d3 a7a6 b5d7 b8d7 c1g5 c5f8 a1d1 d8c7 c2c3 h7h6 g5h4 e8e4 h4g3 c7b6 f3d2 e4e8 d3c2 a8c8 d2f3 g7g6 f1e1 f8g7 e1e8 c8e8 g3f4 g7f8 h2h3 g8h7 f3h2 d7e5 f4e3 b6c7 e3d4 f6e4 d4e5 c7e5 h2g4 e5f4 c2c1 f4d6 c1c2 e4f6 g4f6 d6f6 c2d3 e8d8 d3e3 f8g7 g2g3 h6h5 g1g2 d8d6 b3d4 d6d7 d4f3 g7h6 e3d4 f6d4 f3d4 h6g7 d4c2 a6a5 a2a4 d7d8 g2f3 g7f6 c2d4 h7g7 d4b5 g7f8 b5c7 d5d4 c3c4 f6e7 c7d5 e7c5 f3e2 d8e8 e2d3 b7b6 g3g4 f8g7 d1h1 h5h4 g4g5 e8e5 h1g1 g7f8 f2f3 f8g7 f3f4 e5e8 d3d2 e8e6 g1e1 e6e1 d2e1 g7f8 e1e2 f8e8 e2d3 e8d7 d3e4 d7d6 d5f6 d6e6
World Championship 19th,Moscow,1951.??.??,4.0,"Bronstein, David I","Botvinnik, Mikhail",1/2-1/2,,,D90,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 g7g6 c4d5 c6d5 c1f4 f8g7 e2e3 e8g8 f1e2 b8c6 h2h3 f6e4 a1c1 c8e6 e1g1 a8c8 f3d2 e4d2 d1d2 d8a5 a2a3 a7a6 c1a1 e6f5 f1d1 c8d8 b2b4 a5b6 c3a4 b6a7 f4c7 d8d7 c7b6 a7b8 f2f4 c6a7 g2g4 f5e6 b6a7 b8a7 a4c5 d7d6 c5e6 d6e6 a1c1 a7b8 g1g2 f8c8 e2f3 e6d6 c1c5 e7e6 d1c1 c8c5 c1c5 g7f8 d2c2 d6d8 c5c3 f8d6 h3h4 g8g7 c2c1 h7h6 c3c2 g6g5 f4g5 h6g5 h4h5 g7h6 c1e1 d8f8 e3e4 d5e4 e1e4 f8c8 f3d1 c8c2 d1c2 b8h8 c2d3 h8g7 g2f3 a6a5 b4a5 d6a3 f3g2 a3d6
World Championship 19th,Moscow,1951.??.??,5.0,"Botvinnik, Mikhail","Bronstein, David I",0-1,,,E43,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 c7c5 g1f3 b7b6 e1g1 c8b7 c3a4 c5d4 a2a3 b4e7 e3d4 d8c7 b2b4 f6g4 g2g3 f7f5 a4c3 a7a6 f1e1 b8c6 d3f1 c6d8 c1f4 e7d6 f4d6 c7d6 f1g2 d8f7 c4c5 d6c7 a1c1 a8e8 c3a4 b6b5 a4c3 f5f4 d4d5 f4g3 f2g3 e6d5 d1d4 g4f6 f3h4 e8e5 e1e5 c7e5 d4e5 f7e5 h4f5 e5c4 c1d1 g8h8 d1e1 c4a3 f5d6 b7c6 e1a1 a3c2 a1a6 d5d4 c3b5 c6g2 g1g2 f6g4 d6f5 d4d3 a6d6 f8f5 d6d3 g4e3
World Championship 19th,Moscow,1951.??.??,6.0,"Bronstein, David I","Botvinnik, Mikhail",0-1,,,B63,e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 c1g5 e7e6 d1d2 h7h6 g5f6 g7f6 e1c1 a7a6 f2f4 c8d7 c1b1 f8e7 f1e2 c6d4 d2d4 d8a5 h1f1 h6h5 f1f3 a5c5 d4d2 d7c6 f3e3 c5a5 e2f3 e8c8 d2d3 d8d7 h2h4 c8b8 a2a3 e7d8 b1a2 a5c5 e3e2 a6a5 a3a4 d8b6 b2b3 h8c8 d3c4 c5c4 b3c4 c8h8 a2b3 d7d8 d1d3 b6g1 e2d2 b8c7 c3e2 g1f2 d2d1 f2c5 e2g3 d8g8 g3e2 h8h7 f4f5 e6e5 e2c3 c5d4 d3d4 e5d4 d1d4 h7g7 c3e2 g7g2 f3g2 g8g2 e2f4 g2g3 b3b2 g3g4 f4h5 g4h4 h5f6 c7b6 d4d6 b6c5 e4e5 h4d4 d6d4 c5d4 f6g4 c6a4 e5e6 f7e6 f5f6 a4e8 b2b3 e6e5 c2c3 d4e4 g4h6 e4f4 f6f7 e8f7 h6f7 e5e4 f7d8 e4e3 b3c2 f4g3
World Championship 19th,Moscow,1951.??.??,7.0,"Botvinnik, Mikhail","Bronstein, David I",1-0,,,A94,d2d4 d7d5 c2c4 e7e6 g1f3 c7c6 g2g3 f7f5 f1g2 g8f6 e1g1 f8e7 b2b3 e8g8 c1a3 b7b6 a3e7 d8e7 f3e5 c8b7 b1d2 b8d7 e5d7 f6d7 e2e3 a8c8 a1c1 c6c5 d1e2 d7f6 c4d5 b7d5 g2d5 e6d5 d2f3 c8c7 c1c2 f8c8 f1c1 f6e4 f3e5 e4f6 e2d3 g7g6 d3a6 g8g7 a6e2 e7d6 a2a4 f6e8 e2d2 e8f6 d2c3 f6e4 c3d3 c5d4 e3d4 a7a5 g1g2 e4f6 d3e2 f5f4 g3f4 f6h5 c2c7 c8c7 c1c7 d6c7 e2g4 h5f6 g4e6 f6h5 e6d7 c7d7 e5d7 h5f4 g2f3 f4d3 d7b6 d3b4 f3f4 g7f6 b6d7 f6e7 d7e5 e7e6 f4e3 e6f5 f2f3 g6g5 e3d2 h7h5 e5d3 b4a6 d3c5 a6b4 c5d3 b4a6 h2h3 a6c7 d2e3 c7a6 e3e2 f5e6 e2d2 e6e7 d2c3 e7d6 b3b4 a5b4 d3b4 a6c7 a4a5 c7b5 c3d3 d6e6 d3e3 b5a7 a5a6 a7b5 b4c6 b5c7 c6b4 e6f5 a6a7 f5e6 e3f2 h5h4 f3f4 g5f4 f2f3
World Championship 19th,Moscow,1951.??.??,8.0,"Bronstein, David I","Botvinnik, Mikhail",1/2-1/2,,,D49,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 g1f3 e7e6 e2e3 b8d7 f1d3 d5c4 d3c4 b7b5 c4d3 a7a6 e3e4 c6c5 e4e5 c5d4 c3b5 d7e5 f3e5 a6b5 d1f3 f8b4 e1e2 a8b8 e5c6 c8b7 c1f4 b4d6 c6d8 b7f3 e2f3 b8d8 d3b5 e8e7 f4d2 d8b8 a2a4 f6d5 b2b3 f7f5 h1c1 e6e5 f3e2 e5e4 c1c6 h8c8 a1c1 c8c6 c1c6 b8b6 c6b6 d5b6 a4a5 b6d5 a5a6 d6c5 b3b4 c5a7 b5c6 e7d6 c6b7 h7h6 h2h4 g7g5 h4g5 h6g5 d2g5 d5b4 b7c8 d6e5 g5d2 b4d5 c8b7 d5c3 d2c3 d4c3 g2g3
